model_name,algorithm,region,input_combo,dataset,MAE,RMSE,rRMSE,NSE
GPR_mediterranean_f6,GPR,Mediterranean,6,test,0.7341276412007514,0.9215212549390688,0.2236722673355656,0.7107724006453264
GPR_mediterranean_f6,GPR,Mediterranean,6,train,0.6222295495366762,0.7918120141507194,0.207078906418369,0.7440139204465035
GPR_mediterranean_f7,GPR,Mediterranean,7,test,0.5665888256758774,0.7464430702787044,0.1811771709782192,0.810232253405348
GPR_mediterranean_f7,GPR,Mediterranean,7,train,0.4469983171517518,0.5878851728698697,0.1537468698653691,0.8588901958842114
GPR_mediterranean_f8,GPR,Mediterranean,8,test,1.3265352299079705,1.6027050358531838,0.3890096591023432,0.1251447093884362
GPR_mediterranean_f8,GPR,Mediterranean,8,train,1.2037047240134997,1.3999610798007254,0.366125297737944,0.1997897698245616
GPR_mediterranean_f9,GPR,Mediterranean,9,test,0.5496734893184377,0.7723562280141396,0.18746683029258,0.796827780354167
GPR_mediterranean_f9,GPR,Mediterranean,9,train,0.4529092577623103,0.5786146354406441,0.1513223894098487,0.8633055115538448
GPR_mediterranean_f10,GPR,Mediterranean,10,test,0.6858200779893886,0.8995475006680743,0.2183387827161654,0.7244012636534551
GPR_mediterranean_f10,GPR,Mediterranean,10,train,0.5787670449659554,0.7513759643629652,0.1965038547390786,0.7694915916851
GPR_mediterranean_f11,GPR,Mediterranean,11,test,0.7327976595786675,0.952535249829218,0.2312000053221105,0.6909767668240858
GPR_mediterranean_f11,GPR,Mediterranean,11,train,0.5793781256427505,0.73847084833373,0.1931288398785091,0.7773417010086052
GPR_mediterranean_f12,GPR,Mediterranean,12,test,0.5554278736445195,0.7312719482029929,0.1774948258836143,0.8178677521421911
GPR_mediterranean_f12,GPR,Mediterranean,12,train,0.4550660397366436,0.5743247226600062,0.1502004685102303,0.8653249336442035
GPR_mediterranean_f13,GPR,Mediterranean,13,test,0.599509756121391,0.8032100130756799,0.1949556820402862,0.7802710667670225
GPR_mediterranean_f13,GPR,Mediterranean,13,train,0.4647687322772548,0.6064599848621536,0.1586046538918145,0.8498323181338373
GPR_mediterranean_f14,GPR,Mediterranean,14,test,0.236574567854165,0.3757504180277365,0.0912023976680901,0.9519129689210984
GPR_mediterranean_f14,GPR,Mediterranean,14,train,0.183837072011579,0.2580489267358599,0.0674863333669046,0.9728120608429182
GPR_mediterranean_f15,GPR,Mediterranean,15,test,0.1198349252962563,0.2032354207568866,0.0493294399016289,0.985932147006555
GPR_mediterranean_f15,GPR,Mediterranean,15,train,0.0878816950575249,0.1187381557290683,0.0310530365782365,0.9942435760255556
GPR_mediterranean_f16,GPR,Mediterranean,16,test,0.2465501359831445,0.3922889230354272,0.0952166348802913,0.9475867475842836
GPR_mediterranean_f16,GPR,Mediterranean,16,train,0.1811155222708441,0.2530144248794919,0.0661696835559061,0.973862578651984
GPR_southeastern_anatolia_f1,GPR,Southeastern Anatolia,1,test,0.3769297270770088,0.4883795130791899,0.1192731543003991,0.9466197736117344
GPR_southeastern_anatolia_f1,GPR,Southeastern Anatolia,1,train,0.3041635627464544,0.3890939359670904,0.0942079246674437,0.9730845308876356
GPR_southeastern_anatolia_f2,GPR,Southeastern Anatolia,2,test,0.6866443675318282,0.8599553978267116,0.2100202611075026,0.8344926100363792
GPR_southeastern_anatolia_f2,GPR,Southeastern Anatolia,2,train,0.539706838753875,0.7398257942586743,0.1791275737035592,0.9026912336040726
GPR_southeastern_anatolia_f3,GPR,Southeastern Anatolia,3,test,0.2540336469846255,0.352550376635166,0.0861006539892505,0.9721831529730756
GPR_southeastern_anatolia_f3,GPR,Southeastern Anatolia,3,train,0.1603812166114667,0.221127756576352,0.0535397370859765,0.9913068024575236
